IncomeLevels,VoteByMail,Turnout
High,All Mail,0.6372232211784307
High,Any Absentee,0.5799157633367902
High,Excuse Only,0.6169152881798597
Low,All Mail,0.5761210718349091
Low,Any Absentee,0.523623786913406
Low,Excuse Only,0.5223875186977471
Mid,All Mail,0.5959812870736929
Mid,Any Absentee,0.5899786266113531
Mid,Excuse Only,0.5444714284387989
