IncomeLevels,VoteCate,Turnout
High,Easy,0.5569957992843866
High,Hard,0.6246536023662506
High,Neutral,0.6144262978611157
Low,Easy,0.5558265348372683
Low,Hard,0.5247230587565678
Low,Neutral,0.5207298587100819
Mid,Easy,0.541443942690035
Mid,Hard,0.5484740267521947
Mid,Neutral,0.5855950882894687
